url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english,syllabus,objectives
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP101&Crsname=教育心理學,新增,7/15,False,中學學程,STP101,0,不分班,"教育心理學
EDUCATIONAL PSYCHOLOGY",2,期,False,50,0,37,13,馮雅群,"三5,6(社SS 2001)","['', '', '56', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,課程將會介紹兒童與青少年如何學習與發展、人類的學習與動機、發展上的變化、個別與群體的差異，也會談到提起學習動機的方法，及有效教學與評量的知識。在學習歷程上，課程將會由認知心理學的角度切入，探討學習、記憶、知識建構的歷程，另外也深入介紹不同的學習理論，包含了行為與社會認知兩種取向，以多元的角度看待學習，也包含人類動機及引發或影響動機的因素等知識。,課程期待讓同學掌握教學上相關的心理學知識，以本身的經驗出發，去了解學生如何學習與發展，而老師應該如何順應學生的年紀、能力、特質等，彈性的調整授課或者帶領的方法。修習完課程，應具有兒童、青少年學生的基本知識與能力，期能作為未來教學及與學生相處的基礎。除了講課，本課程強調自主學習，將以學生預習，課程中解決問題與討論教育相關的議題的方式進行，期待學生能夠彼此碰撞想法，並使用課程習得的知識去思考教育與心理學問題並擁有新的見解。欲修課者請務必出席第一週課程導覽。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP104&Crsname=教學原理,,,False,中學學程,STP104,0,不分班,"教學原理
PRINCIPLES OF TEACHING",2,期,False,50,0,47,3,張至慶,"四6,7(社SS 2006)","['', '', '', '67', '', '', '']","《講授類》
本課程為教育專業課程，雙語授課",[],False,這門課程是一門針對師資培育生的基礎課程，也適用於雙語教學次專長的培訓。課程設計旨在透過多樣化的教材和深入的課堂討論，讓學員熟悉並掌握教學理論、教學典範和教學策略等核心概念。學員將有機會將這些理論與自己的專業學科知識相結合，並透過創新的教學法，發展出屬於自己風格的教學模式。,1. 培養對教學理論的基本概念2. 探討當代教學策略的主要議題3. 能將教學理論研究延伸至教學實務4. 鍛鍊對雙語教學的綜合觀察與設計相關教學的思考5. 結合自身學科專業，培養雙語教學設計的專業
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP117&Crsname=班級經營,異動,更換教室9/16,False,中學學程,STP117,0,不分班,"班級經營
CLASSROOM MANAGEMENT",2,期,False,50,0,47,3,陳利銘,"四3,4(社SS 2001)","['', '', '', '34', '', '', '']","《講授類》
本課程為教育學程課程",[],False,班級經營能力是教師的基本功，班級經營得好對教學乃是助益，班級經營不佳則嚴重影響教學及學習效果。本課程在探討教師班級經營知能與技巧，期能讓師培生做好充足的準備，以面對班級內的各項學生需求及問題。,一、認識班級經營的基本概念與理論基礎二、熟悉及運用班級經營的方法和策略
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP118&Crsname=課程發展與設計,,,False,中學學程,STP118,0,不分班,"課程發展與設計
CURRICULUM DEVELOPMENT AND DESIGN",2,期,False,50,0,23,27,周珮儀,"二6,7(社SS 2006)","['', '67', '', '', '', '', '']","《講授類》
本課程為教育學程課程",['環境教育學程'],False,一、課程發展與設計的基本概念二、十二年國教課程的要旨與特色三、永續發展目標四、課程目標的分析與撰寫五、學習內容與課程活動的選擇與組織六、學習表現與學習評量設計七、課程評鑑的設計八、課程實施策略的規劃九、學校總體課程計畫之規劃十、課程設計實作與演示,本課程在於協助學生發展課程設計的實作能力，了解我國當前課程設計的趨勢與重要議題，並能妥善規劃與運用課程設計的基本模式、課程目標、課程選擇、課程組織、課程評鑑與課程實施等要素，希望藉由相關單元的講述、討論與報告，透過教學單元設計演練，協助學生熟悉並統整課程設計的理論與實務。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP120&Crsname=青少年心理學,,,False,中學學程,STP120,0,不分班,"青少年心理學
ADOLESCENT PSYCHOLOGY",2,期,False,50,1,37,13,邱文彬,"一3,4(社SS 2005)","['34', '', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,本科目主要目的在於讓學生能夠了解青少年各個範疇的心理與行為發展，同時探討我國當今中等教育學生所遭遇的問題和可能的協助以及輔導方法。,(一)瞭解跨世紀變遷社會中的青少年與時代脈動。(二)瞭解青少年期身心發展的主要理論與研究取向。(三)瞭解青少年期生理及心理發展的特徵與問題。(四)發展青少年輔導工作的議題與專業知能。(五)探討青少年發展與輔導問題的啟迪、思考、與探究的能力。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP121&Crsname=性別教育,異動,更換教室9/16,False,中學學程,STP121,0,不分班,"性別教育
GENDER EDUCATION",2,期,False,50,0,24,26,林靜慧,"三3,4(社SS 2002-1)","['', '', '34', '', '', '', '']","《講授類》
本課程為教育學程課程","['性別研究學程', '性別與社會微學程', '性別與管理微學程']",False,\\140.117.152.55\crs_net_data\crs_outline\1131\outline\STP121.TXT「性別」是個很生活化的議題，存在我們的日常及工作場域中，修課的你必須和老師一樣投入課堂討論與觀察，才能對這個議題有一定的敏銳度及生活體驗，本課程試著透過師生之間的互動討論與思辯，檢視目前社會上及教育場域中性別教育的相關議題，包含了兩性的生、心理發展、性別角色社會化歷程、教育研究的性別議題、社會文化中的兩性關係及其所衍生的相關議題。本課程透過專題研究的探究及小組討論的方式，除了啟發同學們的獨立思考，更希望透過教學過程培養起學生的性別意識及敏感度，建立性別平權的正確態度與觀念。,1. 探討性別與教育的相關研究和理論基礎2. 培養學生能透過性別觀點檢視社會及教育現象中性別不平等的議題3. 培養學生個人性別經驗的性別意識和批判能力4. 建構多元的性別意識，尊重性別的平等觀念5. 透過實作及小組合作，提升對多元聲音的尊重與包容
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP123&Crsname=教學媒體與運用,,,False,中學學程,STP123,0,不分班,"教學媒體與運用
THE USE OF INSTRUCTIONAL MEDIA",2,期,False,50,0,12,38,"張宇慧,陳菁徽",二2(社SS 2006) 二8(社SS 3006),"['', '28', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,\\140.117.152.55\crs_net_data\crs_outline\1131\outline\STP123.TXT欲修課之同學，請預留週二上午2及週二下午8能選課且到班上課。本課程9/10~10/22為週二上午，10/29~12/24為週二下午。為配合學分時數規定，將維持每週兩小時進行。***重要提醒：請欲修課之同學於9/10(二)早上9am到教室，確認本學期的課程說明。***科技媒體的演變影響著人類生活，也會影響不同世代對於「教學」與「學習」的思考，開展更多元的學習經驗。本課程希望能提供師培生透過認識、經驗、與反思，去建構自身的科技知識，並思考如何結合教學知識與領域知識，進而能善用教學媒體去發展創新教學到未來的實務。,1. 認識教學媒體與學習科技相關理論2. 探索與評析不同教學媒體的應用3. 培養科技資訊與媒體素養並能融入於教學設計4. 統整對理論的理解並能應用於教學媒體的創作
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP133&Crsname=比較教育,,,False,中學學程,STP133,0,不分班,"比較教育
COMPARATIVE EDUCATION",2,期,False,50,0,8,42,林靜慧,"一5,6(社SS 2002-2)","['56', '', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,比較教育是透由了解各國教育制度及經營管理的比較並檢視我國目前發展的現況，以提高學生國際觀視野。本課程會先介紹比較教育的意義、概念與方法；其次，藉由課程的討論，進一步瞭解臺灣及主要國家教育制度的差異，並介紹重要的國際組織，藉以培養學生從鉅觀的層面來來思考教育問題，進而建立對於國際教育事務的關懷。,1. 瞭解比較教育經營的基本概念與研究方法。2. 掌握課程選定國家的教育制度專題發展。3. 反思比較教育背後的國際政經脈絡，思考台灣在世界教育中的位置。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP168&Crsname=學習心理學,異動,更換教室9/16,False,中學學程,STP168,0,不分班,"學習心理學
PSYCHOLOGY OF LEARNING",2,期,False,50,0,23,27,宋宥賢,"二3,4(社SS 2002-1)","['', '34', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,學習心理學為教師專業培育中基礎且重要的課程之一。其議題涵蓋層面甚廣，舉凡人格、智力、性別、社會、道德、智力、認知心理發展、學習動機、相關學習差異與問題解決、不同取向的學習理論、甚至教學與課程評量等。這些亦是促進教師有效教學與學生有效學習的重要基礎。就此，本課程將以講述、討論、演講、課外實踐等方式促進學生熟識學習心理學的相關理論與概念，以利將這些內涵應用於教學與學生學習。此外，本課程亦期望帶領學生學習關於學習輔導接案之相關技巧與歷程，以利理論與實務有所連結。,1.能瞭解學習心理學的相關概念與內涵。2.能運用心理學觀點分析教育與學生學習歷程。3.能針對學習者學習問題進行個案概念化，並形成可能處遇。4.能促進解決教學與學生學習問題之能力。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP170&Crsname=心理學,,,False,中學學程,STP170,0,不分班,"心理學
INTRODUCTION TO PSYCHOLOGY",3,期,False,10,1,10,0,"邱文彬,馮雅群","一5,6,7(社SS 2001)","['567', '', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,本科目主旨在介紹心理學的多元研究取向，以及解釋個體行為與其內在機制的重要理論，使學習者能從個體層次探究人類行為及其背後的心理歷程，並將心理科學的觀點應用至日常生活。,(1)能夠了解心理學的研究取向、學門地位，以及看問題的角度；(2)能夠閱讀與理解心理學領域的基礎理論與專業文章；(3)能夠針對人類行為的特定現象，採取心理學的觀點去探究與分析；(4)能夠針對自己、他人的行為與內在歷程，透過心理學學門的知識去分析或理解。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP175&Crsname=教育議題專題,,,False,中學學程,STP175,0,不分班,"教育議題專題
SPECIAL TOPICS IN EDUCATION",2,期,False,50,0,13,37,王進焱,"五3,4(社SS 2005)","['', '', '', '', '34', '', '']","《講授類》
本課程為教育學程課程",[],False,教育議題多，隨著社會變遷及國際教育趨勢而受影響，進而擬定政策，落實地方或學校實務的執行，爰教育者應有所體認，擇要如下：壹、教師專業圖像及職涯貳、學生同儕團體及次文化參、十二年國民基本教育理念及實踐肆、學校本位課程及特色創新發展伍、教育選擇權與另類教育陸、邁向教育4.0柒、2030未來教育發展捌、教育財政與經費玖、國際教育2.0及全球教育拾、性別平等教育拾壹、友善校園實務拾貳、補救教學－關懷弱勢教育拾參、近年主要教育政策拾肆、教育實務辭彙(一)拾伍、教育實務辭彙(二)拾陸、中小學教學改革議題拾柒、議題口述報告拾捌、期末評量,一、探討及關注當前主要教育議題論述二、評析教育議題及應用於教育實務三、培植教師職前教育專業課程教學及行政能力四、引導教師檢定甄試及公務人員應試準備
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP182&Crsname=探究與實作,新增,8/2,False,中學學程,STP182,0,不分班,"探究與實作
INQUIRY AND PRACTICE",2,期,False,50,0,4,46,楊淑晴,"五5,B(社SS 2002-1)","['', '', '', '', 'B5', '', '']","《講授類》
本課程為教育學程課程",['STREAM永續發展培力微學程'],False,結合理論與實務的上課模式:1.講述探究與實作的理論基礎；2.邀請中學教師進行探究與實作的教學經驗分享；3.由協同教師進行探究與實作的教學示範；4.從教學示範之中，創意思考與設計探究問題與實作。,學生能理解探究與實作的相關理論，並能夠從課程中學習到如何運用生活中各種素材，連結學科知識並且加以運用在實際教學場域中。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP259&Crsname=職業教育與生涯規劃,,,False,中學學程,STP259,0,不分班,"職業教育與生涯規劃
VOCATIONAL EDUCATION AND CAREER PLANNING",2,期,False,50,0,28,22,陳菁徽,"二3,4(社SS 2006)","['', '34', '', '', '', '', '']","《講授類》
本課程為教育學程課程",[],False,"本課程帶領同學認識技職教育的意義,類型與範圍。藉由討論與報告分享,學生了解技職教育理論基礎,與其實際運作,並探討兩者之交互影響。透過議題討論,影片評析,學生進一步認識全球化下的技職教育扮演的角色。","1. 技術及職業教育的意義,類型與範圍2. 技職教育的學理基礎3. 技職教育的課程與教學4. 技職教育的實際運作情形5. 技職教育的理論與實際運作的差異與互動關係6. 技職教育發展與趨勢"
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP260&Crsname=自然領域-化學科/化學專長教材教法,,,False,中學學程,STP260,0,不分班,"自然領域-化學科/化學專長教材教法
SUBJECT MATTER AND PEDAGOGY FOR SCIENCE/CHEMISTRY",2,期,False,50,0,4,46,李偉廷,"三5,B(社SS 2002-2)","['', '', 'B5', '', '', '', '']","《講授類》
本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。",[],False,\\140.117.152.55\crs_net_data\crs_outline\1131\outline\STP260.TXT本課程旨在使學生熟悉自然領域課程綱要、國中理化科教材與高中化學科教材，並學習常用的教學方式，訓練學生具備教學活動設計能力，並熟悉課堂授課技巧。此外，配合數位精進計畫，教導學生線上教學資源平台的使用。,1. 使學生熟悉課程綱要與教材2. 使學生具備撰寫教學活動設計的能力3. 使學生能進行20分鐘的課程講授4. 使學生能與同儕進行互評與討論5. 使學生具備反思教學狀況與成效的能力
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP264&Crsname=自然領域-生物科/生物專長教材教法,異動,確認教師8/19,False,中學學程,STP264,0,不分班,"自然領域-生物科/生物專長教材教法
SUBJECT MATTER AND PEDAGOGY FOR SCIENCE/BIOLOGY",2,期,False,50,0,2,48,王麗雅,"一8,9(社SS 2002-2)","['89', '', '', '', '', '', '']","《講授類》
本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。",[],False,\\140.117.152.55\crs_net_data\crs_outline\1131\outline\STP264.TXT探討各項教學法於生物教學上的運用，充實學生的生物教學能力。,1.充實學生的生物科學科教學知識。2.培養學生設計創意教學的能力。3.培養學生進行多元評量的能力。
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP266&Crsname=語文領域-國語文專長教材教法,異動,確認教師8/19,False,中學學程,STP266,0,不分班,"語文領域-國語文專長教材教法
SUBJECT MATTER AND PEDAGOGY FOR CHINESE",2,期,False,50,0,14,36,吳慧君,"四8,9(社SS 2005)","['', '', '', '89', '', '', '']","《講授類》
本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。",[],False,依據教育部頒布之108課程綱要進行國文科教材教法之教學，透過課綱閱讀、閱讀素養與新興議題、閱讀策略與文本分析、測業與寫作評量命題的探究，教學現場的公開觀議課，發表教案與教學演示，奠定未來進入教學現場的核心能力。,1.能熟習教育部國高中課程綱要與十九大議題，連結數位AI、閱讀素養、永續發展SDG等新興議題。2.能善用閱讀策略與文本分析進行國語文課程設計與教學。3.具備國語文測驗與寫作評量命題之核心能力4.具備國語文專題閱讀與選修課程設計核心能力。
