query,relative_courses_id,tags
我想學習環境教育，請問這個學程中有哪些課程可以幫助我了解海洋環境和生態系統？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我想學習環境科學，請問有哪些課程可以了解海洋與地球的關係？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我想學習環境教育，但覺得有很多課程都跟環境有關，請問哪些課程是最基本的？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我對環境教育很感興趣，有沒有提供多樣化的選擇讓我學習不同領域的課程？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我對環境教育很感興趣，想知道哪些課程可以幫助我了解海洋環境的保護和永續發展？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我想了解如何在實踐中應用環境教育的理論，是否有實地實習的課程或專案可以參與？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我想學習環境教育的相關課程，但不知道哪些課程適合我，能否推薦一些基礎的環境科學課程或是相關的實驗課程？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
我對環境科學很感興趣，請問有哪些課程可以幫助我了解海洋生態系統和海洋保護？,"['STP118', 'GEAE2108', 'GEAE2301', 'GEAE2332', 'GEAE2336', 'GEAE2406', 'GEAE2413', 'GEAE2514', 'GEAE2514A', 'GEAE2514B', 'GEAE2601', 'GEAE2602', 'GEAE2610', 'GEAE2613', 'GEAE2616', 'GEAE2624', 'GEAI1004', 'GEAI1214', 'GEAI1515', 'GEAI1533A', 'GEAI1535', 'GEAI1548', 'GEAI1559', 'GEAI1563', 'GEAI1577', 'GEAI1586', 'GEAI1908', 'GESL353', 'GESL356', 'GESL376', 'GESL388', 'GESL392', 'BIOS211', 'BIOS211A', 'BIOS230', 'BIOS260', 'BIOS312', 'BIOS361', 'BIOS464', 'BIOS465', 'MBR103', 'MBR105', 'MBR210', 'MBR218', 'MBR223', 'MBR227', 'MBR310', 'MBR315', 'MBR318', 'MBR345', 'MBR413', 'MBR424', 'MAEV150', 'MAEV322', 'MAEV340', 'MAEV341', 'MAEV352', 'MAEV410', 'MAEV420', 'MAEV422', 'MAEV453', 'MAEV454', 'DO121', 'DO131', 'DO201', 'DO203', 'DO203A', 'DO206', 'DO207', 'DO225', 'DO231', 'DO232', 'DO303', 'DO311', 'DO321', 'DO324', 'DO325', 'DO417', 'DO431', 'MRSC102', 'PE324', 'SOC240', 'SOC301A', 'SOC301B', 'SOC301C', 'SOC301D', 'SOC301E', 'SOC339', 'MED101', 'BIOS547', 'ENVE531', 'ENVE541', 'ENVE545', 'ENVE563', 'ENVE571', 'EO5040', 'PAM505', 'PAM524', 'PAM534', 'MAEV525', 'MA502', 'MA504', 'MA629', 'DO501', 'DO501A', 'DO502', 'DO625', 'DO718', 'UT508', 'MEC506', 'MEC507', 'IOE537', 'IOE584', 'ENVE722', 'IOE770', 'IOE778']",環境教育學程
有關性別研究，我想了解性別教育在實踐上的應用，哪些課程提供相關的實踐經驗？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
我想深入了解性別在社會和管理上的影響，有哪些課程可以幫助我了解這些問題？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
我對性別研究很有興趣，想了解這個領域的課程有哪些能夠幫助我了解性別議題和社會現象？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
性別研究學程看起來很有趣，我想知道這個學程是如何結合跨學科的理論和實踐呢？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
我對性別研究很有興趣，是否有課程能夠教導如何推動性別友善的校園環境？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
我對性別研究很感興趣，想了解如何促進學校環境的性別友善，我有哪些課程可以學習？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
對於性別研究學程，我想了解如何實際應用性別理論於社會，我有哪些課程選擇？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
我對性別研究很有興趣，想要學習如何推動性別友善的校園環境，有什麼課程可以幫助我？,"['STP121', 'GEAE2315', 'GEAE2319', 'GEAE2338', 'GEAI1181', 'GESL381', 'DFLL438', 'DFL645', 'PAM606']",性別研究學程
有關跨國遷移和性別教育的課程，是否可以透過實際案例來探討這兩個議題？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
我想了解如何促進校園環境更友善，我有沒有機會參加相關的服務學習計畫或課程？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
有關跨國移民的課程有怎麼樣的內容和實作？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
我想進一步了解跨國遷移對不同性別群體的影響，有相關的課程或研究機會嗎？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
我想進一步了解跨國遷移的課程內容，能夠透過實際案例學習嗎？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
我對性別議題很感興趣，有哪些課程可以了解性別教育和性別在社會中的影響？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
有關性別教育，我想了解如何在實際的生活環境中推廣性別平等，有沒有相關的課程或活動可以參加？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
我對於性別議題很感興趣，有沒有提供跨國遷移的課程或者實習機會？,"['STP121', 'GEAE2319', 'GEAE2338', 'GESL381']",性別與社會微學程
想了解如何促進性別平等的實際應用，該微學程有什麼樣的實踐或服務學習課程可以參與嗎？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
我想進一步了解性別教育的課程內容，是否有實作或實驗部分，讓我們能夠更深入地了解這個議題？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
我對性別教育很感興趣，有哪些課程可以幫助我深入了解性別的影響和推動性別平等？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
我想了解性別在工作環境中的重要性，有沒有課程探討這方面的知識？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
我想了解性別教育和管理的課程，能不能給我一些有關性別議題的學習計畫？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
這個微學程對性別議題的探討非常豐富，能夠提供一些有關性別教育、性別與管理、性別與社會的實踐課程嗎？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
我想了解如何在工作中推動性別平等，該微學程中有什麼樣的課程或實踐活動能夠幫助我？,"['STP121', 'GEAE2315', 'GEAE2319', 'GESL381', 'PAM606']",性別與管理微學程
