query,ground_truth_size,Hit@5,Hit@10,Hit@20,AP
我想學習環境教育，請問這個學程中有哪些課程可以幫助我了解海洋環境和生態系統？,116,1,1,1,0.23189579985565817
我想學習環境科學，請問有哪些課程可以了解海洋與地球的關係？,116,1,1,1,0.2896528558623003
我想學習環境教育，但覺得有很多課程都跟環境有關，請問哪些課程是最基本的？,116,1,1,1,0.25451853835143784
我對環境教育很感興趣，有沒有提供多樣化的選擇讓我學習不同領域的課程？,116,1,1,1,0.25451853835143784
我對環境教育很感興趣，想知道哪些課程可以幫助我了解海洋環境的保護和永續發展？,116,1,1,1,0.284174022549515
我想了解如何在實踐中應用環境教育的理論，是否有實地實習的課程或專案可以參與？,116,1,1,1,0.2454107664767754
我想學習環境教育的相關課程，但不知道哪些課程適合我，能否推薦一些基礎的環境科學課程或是相關的實驗課程？,116,1,1,1,0.23770616561425478
我對環境科學很感興趣，請問有哪些課程可以幫助我了解海洋生態系統和海洋保護？,116,1,1,1,0.24508470353567705
有關性別研究，我想了解性別教育在實踐上的應用，哪些課程提供相關的實踐經驗？,9,1,1,1,0.3602345298664127
我想深入了解性別在社會和管理上的影響，有哪些課程可以幫助我了解這些問題？,9,1,1,1,0.30907707072418966
我對性別研究很有興趣，想了解這個領域的課程有哪些能夠幫助我了解性別議題和社會現象？,9,1,1,1,0.23908017905657436
性別研究學程看起來很有趣，我想知道這個學程是如何結合跨學科的理論和實踐呢？,9,1,1,1,0.25656238580896074
我對性別研究很有興趣，是否有課程能夠教導如何推動性別友善的校園環境？,9,1,1,1,0.29768605853054675
我對性別研究很感興趣，想了解如何促進學校環境的性別友善，我有哪些課程可以學習？,9,1,1,1,0.3602345298664127
對於性別研究學程，我想了解如何實際應用性別理論於社會，我有哪些課程選擇？,9,1,1,1,0.3969114219826142
我對性別研究很有興趣，想要學習如何推動性別友善的校園環境，有什麼課程可以幫助我？,9,1,1,1,0.384850904451204
有關跨國遷移和性別教育的課程，是否可以透過實際案例來探討這兩個議題？,4,1,1,1,0.6118589743589743
我想了解如何促進校園環境更友善，我有沒有機會參加相關的服務學習計畫或課程？,4,0,0,1,0.02450160282396378
有關跨國移民的課程有怎麼樣的內容和實作？,4,1,1,1,0.25104900850527107
我想進一步了解跨國遷移對不同性別群體的影響，有相關的課程或研究機會嗎？,4,1,1,1,0.48011363636363635
我想進一步了解跨國遷移的課程內容，能夠透過實際案例學習嗎？,4,1,1,1,0.2515218550970574
我對性別議題很感興趣，有哪些課程可以了解性別教育和性別在社會中的影響？,4,1,1,1,0.3863960113960114
有關性別教育，我想了解如何在實際的生活環境中推廣性別平等，有沒有相關的課程或活動可以參加？,4,1,1,1,0.4575892857142857
我對於性別議題很感興趣，有沒有提供跨國遷移的課程或者實習機會？,4,1,1,1,0.39954974271012006
想了解如何促進性別平等的實際應用，該微學程有什麼樣的實踐或服務學習課程可以參與嗎？,5,1,1,1,0.6036796536796537
我想進一步了解性別教育的課程內容，是否有實作或實驗部分，讓我們能夠更深入地了解這個議題？,5,1,1,1,0.571517027863777
我對性別教育很感興趣，有哪些課程可以幫助我深入了解性別的影響和推動性別平等？,5,1,1,1,0.4253703703703703
我想了解性別在工作環境中的重要性，有沒有課程探討這方面的知識？,5,1,1,1,0.3635789017184366
我想了解性別教育和管理的課程，能不能給我一些有關性別議題的學習計畫？,5,1,1,1,0.6285714285714286
這個微學程對性別議題的探討非常豐富，能夠提供一些有關性別教育、性別與管理、性別與社會的實踐課程嗎？,5,1,1,1,0.5536866359447004
我想了解如何在工作中推動性別平等，該微學程中有什麼樣的課程或實踐活動能夠幫助我？,5,1,1,1,0.5936635944700461
我對性別議題很感興趣，有沒有提供課程或活動讓我了解性別在企業或社會中的影響和應用？,5,1,1,1,0.567119589271488
聽說這個微學程關注永續發展教育，想了解更多實際的實作經驗，哪些課程可以幫助我學習？,11,1,1,1,0.24648273204092633
我對永續發展議題很感興趣，是否有課程能夠讓我了解如何將設計思考與創意設計方法應用於實際的環境保護問題？,11,1,1,1,0.07168091451428701
我對永續發展議題很感興趣， STREAM微學程的課程安排是什麼樣的？,11,0,0,0,0.005729344169585785
我想了解如何在實際生活中運用設計思考，是否有任何相關的實作課程或工作坊？,11,1,1,1,0.08442146438667672
我想了解如何將設計思考應用在實際的永續發展問題上，哪些課程或實作有助於學習這個領域？,11,1,1,1,0.10788271670601844
我對永續發展議題很感興趣，想了解這些課程是如何結合實踐和研究的？,11,1,1,1,0.1111996766301158
這個學程裡有很多跟環境保護和設計思考相關的課程，我想知道哪些課程會更深入地探討永續發展的實際應用？,11,1,1,1,0.08569641544198385
我想了解如何結合設計思考和創意設計方法來推動永續發展，有什麼課程或實踐活動可以參與嗎？,11,1,1,1,0.35578044469394104
這個跨域應用整合學程好像有很多有趣的課程，請問有哪些課程可以幫助我提高中文寫作和表達能力？,34,0,1,1,0.024415841748610424
我想學習中文創意跨域應用整合，想知道有哪些課程可以幫助我提高中文思辨和表達能力？,34,0,1,1,0.06266061850243528
我想學習中文創意跨域應用整合的課程，有哪些選擇能夠幫助我提高中文思辨和表達能力？,34,0,0,1,0.02827147194026767
我想學習中文創意跨域應用整合學程，但有很多課程名稱都很長，我想知道哪些課程比較適合初學者？,34,0,1,1,0.03064140374128006
我想在學程中學習如何結合中文和創意，請問有哪些課程能夠幫助我培養創意思維和跨域應用能力？,34,0,1,1,0.05405933820293101
我想學習中文創意跨域應用整合的課程，有哪些可以培養我批判性思維和表達能力的選擇？,34,0,0,0,0.07196579510861696
我對中文創意跨域應用很感興趣，想了解這個學程的核心內容和課程安排，請問哪些課程比較重要或有助於學習？,34,0,0,1,0.06672797521883422
我想學習如何用中文表達自己的想法，有哪些課程可以幫助我提高中文思辨能力和表達技巧？,34,1,1,1,0.06570333323526144
對海洋休閒運動產業很感興趣，想知道哪些課程能夠讓我學會初級潛水或帆船技術？,19,1,1,1,0.8594217981762019
我想學習海洋休閒運動相關的課程，但不太確定哪些是初學者的好選擇，能給我一些建議嗎？,19,1,1,1,0.8443300743990608
