query,ground_truth_size,Hit@5,Hit@10,Hit@20,AP
我想學習環境教育，請問這個學程中有哪些課程可以幫助我了解海洋環境和生態系統？,116,1,1,1,0.9655771049050483
我想學習環境科學，請問有哪些課程可以了解海洋與地球的關係？,116,1,1,1,0.53988948529801
我想學習環境教育，但覺得有很多課程都跟環境有關，請問哪些課程是最基本的？,116,1,1,1,0.3052203161286931
我對環境教育很感興趣，有沒有提供多樣化的選擇讓我學習不同領域的課程？,116,1,1,1,0.6461536420916619
我對環境教育很感興趣，想知道哪些課程可以幫助我了解海洋環境的保護和永續發展？,116,1,1,1,0.7832030695513756
我想了解如何在實踐中應用環境教育的理論，是否有實地實習的課程或專案可以參與？,116,1,1,1,0.8581878893605372
我想學習環境教育的相關課程，但不知道哪些課程適合我，能否推薦一些基礎的環境科學課程或是相關的實驗課程？,116,1,1,1,0.15341189376692513
我對環境科學很感興趣，請問有哪些課程可以幫助我了解海洋生態系統和海洋保護？,116,1,1,1,0.5104953270783287
有關性別研究，我想了解性別教育在實踐上的應用，哪些課程提供相關的實踐經驗？,9,1,1,1,0.12713682483808575
我想深入了解性別在社會和管理上的影響，有哪些課程可以幫助我了解這些問題？,9,1,1,1,0.5072954372230053
我對性別研究很有興趣，想了解這個領域的課程有哪些能夠幫助我了解性別議題和社會現象？,9,0,0,0,0.031096722838602733
性別研究學程看起來很有趣，我想知道這個學程是如何結合跨學科的理論和實踐呢？,9,1,1,1,1.0
我對性別研究很有興趣，是否有課程能夠教導如何推動性別友善的校園環境？,9,1,1,1,0.6801587301587302
我對性別研究很感興趣，想了解如何促進學校環境的性別友善，我有哪些課程可以學習？,9,1,1,1,0.12713682483808575
對於性別研究學程，我想了解如何實際應用性別理論於社會，我有哪些課程選擇？,9,1,1,1,1.0
我對性別研究很有興趣，想要學習如何推動性別友善的校園環境，有什麼課程可以幫助我？,9,1,1,1,0.6338586298717017
有關跨國遷移和性別教育的課程，是否可以透過實際案例來探討這兩個議題？,4,1,1,1,0.10349290367612843
我想了解如何促進校園環境更友善，我有沒有機會參加相關的服務學習計畫或課程？,4,0,0,0,0.00426361117001408
有關跨國移民的課程有怎麼樣的內容和實作？,4,1,1,1,0.2540334377981323
我想進一步了解跨國遷移對不同性別群體的影響，有相關的課程或研究機會嗎？,4,1,1,1,0.7763157894736842
我想進一步了解跨國遷移的課程內容，能夠透過實際案例學習嗎？,4,0,0,0,0.007594771078445971
我對性別議題很感興趣，有哪些課程可以了解性別教育和性別在社會中的影響？,4,0,0,0,0.022580938891309823
有關性別教育，我想了解如何在實際的生活環境中推廣性別平等，有沒有相關的課程或活動可以參加？,4,1,1,1,0.534084984358707
我對於性別議題很感興趣，有沒有提供跨國遷移的課程或者實習機會？,4,1,1,1,0.7803030303030303
想了解如何促進性別平等的實際應用，該微學程有什麼樣的實踐或服務學習課程可以參與嗎？,5,1,1,1,0.8909090909090909
我想進一步了解性別教育的課程內容，是否有實作或實驗部分，讓我們能夠更深入地了解這個議題？,5,1,1,1,0.21590616560058268
我對性別教育很感興趣，有哪些課程可以幫助我深入了解性別的影響和推動性別平等？,5,1,1,1,0.837037037037037
